UnitCode,UnitName,Faculty
APG4572,Human services management: Principles and process,arts
APG4618,Researching histories,arts
APG4677,Theory and practice in sociology,arts
APG4681,Social research practice,arts
APG4761,Program planning and evaluation in the human services,arts
APG4762,Management and leadership in the human services,arts
APG4763,Human services research methods,arts
APG4789,Research methods in music,arts
APG4809,Advocacy for community rights,arts
APG4823,Water management project management,arts
APG4824,Science of water,arts
APG4825,"Water, sustainability and development",arts
APG4826,Water governance and policy,arts
APG5018,"Celebrity, fashion, publicity",arts
APG5042,Practices of teaching Englishes for intercultural communication,arts
APG5043,Language in society,arts
APG5044,Professional internship,arts
APG5045,Gender and development,arts
APG5046,General linguistics,arts
APG5047,Issues in teaching English as an international language,arts
APG5048,Translation for special purposes,arts
APG5049,Theory and practice of interpreting,arts
APG5050,Communication research methods,arts
APG5051,Special topics in bioethics,arts
APG5054,Research methods for development practice and change,arts
APG5064,"Gender, security and conflict",arts
APG5065,"Governing migration: Refugees, borders and development",arts
APG5066,Shanghai city lab,arts
APG5067,Cultural economy and sustainable development,arts
APG5068,Creative cities,arts
APG5072,Art worlds,arts
APG5080,Bioethics and the body,arts
APG5081,Public health ethics,arts
APG5087,Introduction to disaster preparedness and management,arts
APG5089,Responding to international disasters and humanitarian crises,arts
APG5092,Human rights in global politics,arts
APG5094,Global jihad?,arts
APG5095,Research and writing,arts
APG5099,Media innovation,arts
APG5135,Video journalism,arts
APG5180,Policy and political communication,arts
APG5181,Intergovernmental relations,arts
APG5182,Digital management and production,arts
APG5183,International tourism marketing research project,arts
APG5184,Video-making as research,arts
APG5189,Monitoring and evaluation,arts
APG5190,Global journalism: Hong Kong field school,arts
APG5201,Intensive intermediate Indonesian for fieldwork,arts
APG5202,Intensive introductory Indonesian for fieldwork,arts
APG5207,Intensive introductory Spanish for fieldwork,arts
APG5208,Intensive intermediate Spanish for fieldwork,arts
APG5210,Bioethics theory and practice,arts
APG5229,"Prosperity, poverty and sustainability in a globalised world",arts
APG5230,Ecosystems and environmental management,arts
APG5264,"Criminal behaviours and enterprises: Individuals, groups and organisations",arts
APG5267,Hermeneutics,arts
APG5272,Writers and the creative process,arts
APG5290,"Holocaust memories: Landscape, mourning, identity",arts
APG5324,Advanced seminar in International political economy,arts
APG5327,Wars of recognition: Terrorism and political violence,arts
APG5332,Security and securitisation,arts
APG5337,Governance and democratisation,arts
APG5347,Research methods in applied linguistics,arts
APG5348,Second language acquisition,arts
APG5349,World Englishes,arts
APG5372,Community development in a globalising world,arts
APG5389,Tourism industry and marketing,arts
APG5390,Contemporary tourism and development in emerging economies,arts
APG5393,Ethics,arts
APG5394,Questions of life and death,arts
APG5397,"Media, technologies and social change",arts
APG5398,Digital media technologies,arts
APG5400,Issues in international communications,arts
APG5401,Media empires and entrepreneurs,arts
APG5425,Perspectives on environment and sustainability,arts
APG5426,Environmental analysis,arts
APG5428,Environmental governance and citizenship,arts
APG5433,Corporate sustainability management,arts
APG5434,Sustainability measurement,arts
APG5547,Studio production,arts
APG5571,Human services management: Structure and context,arts
APG5572,Human services management: Principles and process,arts
APG5609,Sustainable tourism development and planning,arts
APG5616,Conference interpreting,arts
APG5617,Human research ethics,arts
APG5627,Research in political ecology,arts
APG5628,Doctrines of development,arts
APG5640,Journalism in society,arts
APG5642,Investigative journalism,arts
APG5652,Language and intercultural communication,arts
APG5653,Journalism futures: New York field school,arts
APG5662,Cultural and creative industries,arts
APG5666,"Terrorism, counter-terrorism and intelligence",arts
APG5667,"Terrorism, fringe politics and extremist violence",arts
APG5668,Advanced seminar in international relations,arts
APG5671,New publishing media,arts
APG5690,Applied translation,arts
APG5702,Bilingualism,arts
APG5703,Literacy,arts
APG5704,Discourse analysis,arts
APG5705,Language and identity,arts
APG5717,Applied industry research and practice,arts
APG5720,Cultural tourism and events management,arts
APG5729,Clinical ethics,arts
APG5730,"Bioethics, public policy, and the law",arts
APG5732,Ethical issues in professional life,arts
APG5733,Health care ethics,arts
APG5736,Criminal justice research project,arts
APG5738,Criminal justice dissertation,arts
APG5739,Criminal justice dissertation - Part 1,arts
APG5740,Criminal justice dissertation - Part 2,arts
APG5741,Supervised reading in criminal justice and criminology,arts
APG5742,Communications research project,arts
APG5752,Field trip in media and communications,arts
APG5782,Film festival study tour,arts
APG5786,Human services research methods,arts
APG5804,Environmental revolutions,arts
APG5805,Project planning and management in international development,arts
APG5848,Research thesis,arts
APG5849,Research thesis A,arts
APG5850,Research thesis B,arts
APG5856,Research project,arts
APG5862,"Publishing history, culture and commerce",arts
APG5867,Research practicum,arts
APG5868,Research practicum,arts
APG5874,Practice of conference interpreting and translation,arts
APG5875,Introduction to interpreting and translation studies,arts
APG5876,Theoretical issues in literary and cultural translation,arts
APG5881,Translation studies abroad 1,arts
APG5882,Translation studies abroad 2,arts
APG5883,Major translation project part 1,arts
APG5884,Major translation project part 2,arts
APG5885,Advanced interpreting,arts
APG5894,Communications theories and practices,arts
APG5900,Cultural economy,arts
APG5980,Monash-Warwick University joint project,arts
APG5990,Managing public sector organisations,arts
APG5991,Choices and challenges for government in a market economy,arts
APG5992,Delivering public value,arts
APG5993,Designing public policies and programs,arts
APG5994,Decision making under uncertainty,arts
APG5995,Governing by the rules,arts
APG5996,Leading public sector change,arts
APR4702,Classical languages for researchers,arts
APR6001,Bioethics theory and practice,arts
APR6035,"Advanced Research Methodologies in Media, Film and Journalism",arts
APR6100,"Film, Media and Communication Studies: The State of the Fields",arts
ARC1001,Foundation studio 1,ada
ARC1002,Foundation studio 2,ada
ARC1102,Technologies and environments 1,ada
ARC1301,Architecture communications 1,ada
ARC1401,Introduction to architectural and visual cultures,ada
ARC2001,Architecture Design Studio 3,ada
ARC2002,Architecture Design Studio 4,ada
ARC2101,Technologies and environments 2,ada
ARC2301,Architecture communications 2,ada
ARC2401,Contemporary architecture,ada
ARC2402,19th and 20th century architecture,ada
ARC3001,Architecture Design Studio 5,ada
ARC3002,Architecture Design Studio 6,ada
ARC3101,Technologies and environments 3,ada
ARC3102,"Integrated technologies, environments and professional studies",ada
ARC3401,Architecture and the City,ada
ARC3501,Advanced studies in architecture A,ada
ARC3502,Advanced studies in architecture B,ada
ARC4001,Advanced architecture project 1,ada
ARC4002,Advanced architecture project 2,ada
ARC4101,"Integrated project- technologies, environments and professional practices",ada
ARC4201,Professional studies 1,ada
ARC4501,Advanced architecture studies 1,ada
ARC4502,Advanced architecture studies 2,ada
ARC5001,Advanced architecture project 3,ada
ARC5002,Final architecture project,ada
ARC5201,Professional practices,ada
ARC5401,Architecture Research Methods,ada
ARC5501,Advanced architecture studies 3,ada
ARC5502,Advanced Studies in Architecture 4,ada
ASC5001,Addiction science: A biopsychosocial overview,med
ASC5002,Socio-cultural perspectives of addiction,med
ASC5003,"Addiction policies, prevention and public health",med
ASC5004,Addiction assessment and treatment: Practice and innovation,med
ASC5007,Recovery principles,med
ASC5008,Co-occurring disorders in mental health and addiction,med
ASC5009,"Developmental factors: Children and families, youth and early interventions",med
ASC5010,Gambling and other process addictions,med
ASP1010,Earth to cosmos - introductory astronomy,sci
ASP1022,Life in the universe - astrobiology,sci
ASP2011,Astronomy,sci
ASP2062,Introduction to astrophysics,sci
ASP3012,Stars and galaxies,sci
ASP3051,Relativity and cosmology,sci
ASP3162,Computational astrophysics and the extreme universe,sci
ASP3231,Observational astronomy,sci
ASP4100,Astrophysics honours research project,sci
ASP4110,Astrophysics honours research project - Part 1,sci
ASP4120,Astrophysics honours research project - Part 2,sci
ASP4200,Astrophysics honours coursework,sci
ASP4210,Astrophysics honours coursework part 1,sci
ASP4220,Astrophysics honours coursework part 2,sci
ATM3040,Physical meteorology,sci
ATM3050,Dynamical meteorology,sci
ATS1001,Chinese introductory 1,arts
ATS1002,Chinese introductory 2,arts
ATS1020,Leadership for social change 1,arts
ATS1040,Religions and the modern world,arts
ATS1041,World religions,arts
ATS1044,Performance 1,arts
ATS1045,Performance 2,arts
ATS1046,Composition 1,arts
ATS1047,Composition 2,arts
ATS1048,Creative music technology 1,arts
ATS1049,Creative music technology 2,arts
ATS1061,French introductory 1,arts
ATS1062,French introductory 2,arts
ATS1089,Fundamentals of journalism,arts
ATS1090,Practice of journalism,arts
ATS1091,German introductory 1,arts
ATS1092,German introductory 2,arts
